code,volume_turnover_ratio
300329.XSHE,677031.8248175182
300386.XSHE,486082.4845216696
300749.XSHE,476082.85174801166
000525.XSHE,738611.6229213744
603393.XSHG,1487772.7354152983
000156.XSHE,7791345.665578528
000566.XSHE,1205051.5957083304
600569.XSHG,9275428.72347502
601658.XSHG,29739346.32034632
600592.XSHG,1201634.1943957969
603056.XSHG,2130403.2307535014
603928.XSHG,1936588.2694541232
300779.XSHE,248654.2476312831
603989.XSHG,1785107.9913606911
000836.XSHE,1367438.2876445367
300782.XSHE,249341.03520422085
300275.XSHE,408153.7042431304
300678.XSHE,593235.5878840516
002939.XSHE,16426022.528815927
002805.XSHE,955890.2439024391
603041.XSHG,457708.38108335243
300686.XSHE,548037.6726417866
600169.XSHG,2529143.893865518
603336.XSHG,1307933.291946498
002367.XSHE,711523.3517689403
000089.XSHE,2839617.464179508
002035.XSHE,495510.9619367278
600138.XSHG,1360070.3558938492
300256.XSHE,1725323.1929968805
300746.XSHE,627583.7382994684
603536.XSHG,420209.00513555476
002850.XSHE,847143.0443900734
300240.XSHE,1027453.604273363
600885.XSHG,1892065.5311778293
600153.XSHG,1826303.7350246652
002395.XSHE,831676.634067403
300274.XSHE,1591547.378859898
002140.XSHE,620436.9864307528
002873.XSHE,359317.33693815477
000050.XSHE,2194889.6570061157
300706.XSHE,342618.52774631936
603486.XSHG,1270808.24088748
600567.XSHG,11518377.192982456
000830.XSHE,2208476.14120269
002381.XSHE,597684.0129398139
002825.XSHE,441697.16329805244
603569.XSHG,3901927.103528499
300707.XSHE,382909.23196276184
600123.XSHG,1490946.3993805384
