code,date,volume_turnover_ratio
600179.XSHG,2023-02-09,15217548.46779237
300765.XSHE,2023-02-09,1961303.7634408604
301266.XSHE,2023-02-09,260000.5553807135
300324.XSHE,2023-02-09,676741.8320868245
600668.XSHG,2023-02-09,400548.60346381017
002909.XSHE,2023-02-09,1219090.2131838927
301043.XSHE,2023-02-09,179430.8100207349
002035.XSHE,2023-02-09,447124.62840155495
300200.XSHE,2023-02-09,1047756.7169672434
002249.XSHE,2023-02-09,1399027.033609352
002599.XSHE,2023-02-09,1133120.8337345787
002908.XSHE,2023-02-09,980834.1347932235
603655.XSHG,2023-02-09,1035837.9982464424
600028.XSHG,2023-02-09,242240071.55635062
605333.XSHG,2023-02-09,979342.5270468813
002594.XSHE,2023-02-09,11416996.016960042
000738.XSHE,2023-02-09,6800399.554503689
003038.XSHE,2023-02-09,565092.5047438331
300268.XSHE,2023-02-09,659035.8114024979
605069.XSHG,2023-02-09,638535.3281367865
601111.XSHG,2023-02-09,87125711.87258688
300697.XSHE,2023-02-09,669680.8137495616
603833.XSHG,2023-02-09,4157492.2387030013
300978.XSHE,2023-02-09,1278305.1991897367
603711.XSHG,2023-02-09,3894453.955543283
002918.XSHE,2023-02-09,808552.4501817271
002235.XSHE,2023-02-09,1198859.0211217816
600168.XSHG,2023-02-09,3026065.144140771
301300.XSHE,2023-02-09,150528.07364854196
301265.XSHE,2023-02-09,718435.2554661833
002400.XSHE,2023-02-09,908633.2379115067
601098.XSHG,2023-02-09,12130543.436662842
300276.XSHE,2023-02-09,571824.9258160237
000920.XSHE,2023-02-09,1340671.1346923579
605299.XSHG,2023-02-09,1082500.101762527
300409.XSHE,2023-02-09,848984.78763539
002576.XSHE,2023-02-09,1176808.9322006514
300683.XSHE,2023-02-09,1107927.0462633453
300070.XSHE,2023-02-09,1464867.9660484125
603977.XSHG,2023-02-09,2897366.6441593515
300959.XSHE,2023-02-09,365957.209121597
600501.XSHG,2023-02-09,890666.624240303
605488.XSHG,2023-02-09,287474.98103255173
688092.XSHG,2023-02-09,257489.84759447706
600249.XSHG,2023-02-09,1242947.9240686225
600252.XSHG,2023-02-09,879034.693877551
301052.XSHE,2023-02-09,542627.1366952447
301139.XSHE,2023-02-09,303999.3708383579
000150.XSHE,2023-02-09,2043955.3971812942
603815.XSHG,2023-02-09,6047860.591803888
605507.XSHG,2023-02-09,2939550.7190050525
002401.XSHE,2023-02-09,506752.68890170666
002936.XSHE,2023-02-09,47530852.71317829
600162.XSHG,2023-02-09,3868129.7781092674
601900.XSHG,2023-02-09,7521351.636747624
300411.XSHE,2023-02-09,716980.8638600329
603429.XSHG,2023-02-09,714514.6602276647
300945.XSHE,2023-02-09,758055.306084087
000813.XSHE,2023-02-09,5286424.960505529
688320.XSHG,2023-02-09,322933.25517398596
300383.XSHE,2023-02-09,875974.1565582013
300956.XSHE,2023-02-09,560536.6192984199
301076.XSHE,2023-02-09,394591.50969918474
000931.XSHE,2023-02-09,3684789.0556856263
688500.XSHG,2023-02-09,424256.955795841
001210.XSHE,2023-02-09,402749.9319912949
601658.XSHG,2023-02-09,98738139.84713903
002656.XSHE,2023-02-09,1151227.3748183378
600017.XSHG,2023-02-09,9109498.750551227
300461.XSHE,2023-02-09,437753.81659015693
600237.XSHG,2023-02-09,1342772.2022092545
300659.XSHE,2023-02-09,587182.317992374
300080.XSHE,2023-02-09,4635024.639760464
002590.XSHE,2023-02-09,975883.8449531738
600019.XSHG,2023-02-09,71533709.01639344
600535.XSHG,2023-02-09,1214372.399445215
688207.XSHG,2023-02-09,447258.73682715365
300613.XSHE,2023-02-09,417972.1049037708
600722.XSHG,2023-02-09,1154133.1891223732
300482.XSHE,2023-02-09,679551.356448571
300532.XSHE,2023-02-09,613513.569260689
688619.XSHG,2023-02-09,868780.2707454545
301159.XSHE,2023-02-09,306288.6382895509
300586.XSHE,2023-02-09,799983.5409539792
300563.XSHE,2023-02-09,628836.1022740662
000953.XSHE,2023-02-09,1403892.901618929
603701.XSHG,2023-02-09,732938.0391429366
002875.XSHE,2023-02-09,713519.3434935522
603211.XSHG,2023-02-09,679516.2857288951
688108.XSHG,2023-02-09,4086022.61553589
600909.XSHG,2023-02-09,39215102.50844187
300300.XSHE,2023-02-09,1007391.9142327539
301065.XSHE,2023-02-09,300345.07634964533
002851.XSHE,2023-02-09,1778884.2013383764
600409.XSHG,2023-02-09,2872144.2215854824
601318.XSHG,2023-02-09,40054602.1093001
002255.XSHE,2023-02-09,1545040.8289302133
002368.XSHE,2023-02-09,1063513.24828263
300078.XSHE,2023-02-09,611105.6539120503
600744.XSHG,2023-02-09,2012653.7451317813
002625.XSHE,2023-02-09,2658900.4568946147
301091.XSHE,2023-02-09,736243.8877810255
603313.XSHG,2023-02-09,2682768.5447912444
688676.XSHG,2023-02-09,1854095.6212285317
603878.XSHG,2023-02-09,1664811.1429169867
603305.XSHG,2023-02-09,4623901.263072117
300601.XSHE,2023-02-09,3465465.5096337697
300452.XSHE,2023-02-09,343623.46443195886
300132.XSHE,2023-02-09,803892.6597159051
300184.XSHE,2023-02-09,1202641.3815762454
002748.XSHE,2023-02-09,1135045.3842123859
300702.XSHE,2023-02-09,762549.937142059
301263.XSHE,2023-02-09,528337.1725961949
600791.XSHG,2023-02-09,615348.3398987057
603090.XSHG,2023-02-09,964431.6423043852
600572.XSHG,2023-02-09,1633040.1280896629
603980.XSHG,2023-02-09,4238014.079288626
603332.XSHG,2023-02-09,1109619.7623514696
688177.XSHG,2023-02-09,1075496.6059306895
603013.XSHG,2023-02-09,4392500.577767506
603036.XSHG,2023-02-09,1945857.969151671
002278.XSHE,2023-02-09,1538129.0322580645
301152.XSHE,2023-02-09,264413.9779608855
002579.XSHE,2023-02-09,1247172.01873379
300635.XSHE,2023-02-09,717627.9140175598
600893.XSHG,2023-02-09,6755268.8172043
603586.XSHG,2023-02-09,1738002.0746887967
688388.XSHG,2023-02-09,2290317.1426838883
002607.XSHE,2023-02-09,5661876.786630507
600624.XSHG,2023-02-09,368142.2554983622
300340.XSHE,2023-02-09,508336.5375086711
688139.XSHG,2023-02-09,3131453.4534534533
300358.XSHE,2023-02-09,973733.0388135058
300835.XSHE,2023-02-09,395709.5063122829
002023.XSHE,2023-02-09,667235.4570637118
688087.XSHG,2023-02-09,687420.0278164117
000554.XSHE,2023-02-09,605761.7780443012
603855.XSHG,2023-02-09,2800392.614188533
002503.XSHE,2023-02-09,683624.9531659798
300677.XSHE,2023-02-09,828837.4205267938
301005.XSHE,2023-02-09,241550.1030927835
600751.XSHG,2023-02-09,4109284.0214544097
002910.XSHE,2023-02-09,1676513.7908061293
688023.XSHG,2023-02-09,786586.5216740659
002008.XSHE,2023-02-09,746728.0374954933
000796.XSHE,2023-02-09,1993406.855987501
002327.XSHE,2023-02-09,419194.50947010005
002448.XSHE,2023-02-09,814810.3607770583
300827.XSHE,2023-02-09,331145.3829065611
600488.XSHG,2023-02-09,1528810.3140158285
688182.XSHG,2023-02-09,953694.8081187395
603320.XSHG,2023-02-09,952915.2371342079
002413.XSHE,2023-02-09,2479920.0960503435
300863.XSHE,2023-02-09,185706.21857998762
301209.XSHE,2023-02-09,200000.41426736818
603866.XSHG,2023-02-09,4290550.23923445
603927.XSHG,2023-02-09,4046583.781082094
688120.XSHG,2023-02-09,250934.93784713038
002364.XSHE,2023-02-09,793852.344032189
002777.XSHE,2023-02-09,798346.6298134305
300273.XSHE,2023-02-09,1171857.9045772455
300012.XSHE,2023-02-09,782555.6379821958
688065.XSHG,2023-02-09,1860705.400485437
603101.XSHG,2023-02-09,2367694.409937888
688238.XSHG,2023-02-09,726847.9105173217
002445.XSHE,2023-02-09,3303211.1692844676
002871.XSHE,2023-02-09,322817.7735182471
601880.XSHG,2023-02-09,69356437.57159221
300880.XSHE,2023-02-09,577421.06126466
603032.XSHG,2023-02-09,1322549.5376486129
603111.XSHG,2023-02-09,3244106.458045712
603599.XSHG,2023-02-09,2140433.127082342
300973.XSHE,2023-02-09,704112.8260349366
605577.XSHG,2023-02-09,1867526.5505522515
601398.XSHG,2023-02-09,1284542969.072165
002865.XSHE,2023-02-09,1343177.0705834352
603057.XSHG,2023-02-09,419999.9017411469
300398.XSHE,2023-02-09,939331.7339452731
603108.XSHG,2023-02-09,1043124.8621222149
301119.XSHE,2023-02-09,209534.62788565713
600885.XSHG,2023-02-09,1852545.1957295374
603777.XSHG,2023-02-09,2310112.168913187
688683.XSHG,2023-02-09,539838.3447742434
002718.XSHE,2023-02-09,238573.33607230894
300713.XSHE,2023-02-09,286146.61304829374
603693.XSHG,2023-02-09,5825874.361043853
605123.XSHG,2023-02-09,410438.7753042566
300569.XSHE,2023-02-09,806842.4838168304
300108.XSHE,2023-02-09,877066.7173430008
301321.XSHE,2023-02-09,615971.8200437884
601999.XSHG,2023-02-09,4959291.184327694
600804.XSHG,2023-02-09,1711014.5475155867
002660.XSHE,2023-02-09,1035189.6863195928
000599.XSHE,2023-02-09,1337422.1440048972
300861.XSHE,2023-02-09,1981144.2498347654
688670.XSHG,2023-02-09,302391.4315814117
301161.XSHE,2023-02-09,265408.3624784674
300026.XSHE,2023-02-09,551815.2512227657
000407.XSHE,2023-02-09,712539.2974966039
688313.XSHG,2023-02-09,3234240.161897472
300606.XSHE,2023-02-09,741741.7852320097
603709.XSHG,2023-02-09,778761.135857461
000400.XSHE,2023-02-09,1265352.270054105
000525.XSHE,2023-02-09,738778.7679194111
600606.XSHG,2023-02-09,850434.0155257587
000938.XSHE,2023-02-09,4039469.7707809857
300656.XSHE,2023-02-09,473116.9765382913
603931.XSHG,2023-02-09,579273.0328816052
300051.XSHE,2023-02-09,581681.9524057669
688079.XSHG,2023-02-09,1720214.4772117962
000829.XSHE,2023-02-09,623290.8957254798
600759.XSHG,2023-02-09,5058100.2767377505
688578.XSHG,2023-02-09,2067762.4896657611
002676.XSHE,2023-02-09,1535422.6230871954
600386.XSHG,2023-02-09,1360480.7554728861
300688.XSHE,2023-02-09,635921.1990209479
601100.XSHG,2023-02-09,3795855.210819411
600421.XSHG,2023-02-09,1018752.1749937858
301269.XSHE,2023-02-09,786091.4949366192
