date,code,open,close,low,high,volume,money,turnover_ratio
2021-10-28,000812.XSHE,22.02,22.23,21.88,22.37,975970.0,21568009.48,0.8913
2021-10-28,000813.XSHE,15.06,15.27,14.93,15.35,2384090.0,36165795.69,0.4505
2021-10-28,000815.XSHE,19.19,19.05,18.87,19.48,2670059.0,51027011.0,1.3699
2021-10-28,000816.XSHE,23.6,22.92,22.85,23.68,6047399.0,139972653.43,3.3976
2021-10-28,000818.XSHE,76.08,71.28,70.74,76.08,13739074.0,999494425.84,4.2308
2021-10-28,000819.XSHE,65.02,59.44,59.27,65.11,1669459.0,101453563.27,4.7935
2021-10-28,000820.XSHE,6.58,7.01,6.35,7.01,11606088.0,77837328.78,7.7668
2021-10-28,000821.XSHE,37.26,35.99,35.52,37.48,11089472.0,403306673.18,5.7221
2021-10-28,000822.XSHE,20.78,19.57,19.3,20.85,23693460.0,469599701.11,6.4037
2021-10-28,000823.XSHE,32.98,33.4,32.53,33.7,6862182.0,227454856.22,3.8318
2021-10-28,000825.XSHE,57.69,56.19,55.44,58.06,17637748.0,995565682.43,2.3198
2021-10-28,000826.XSHE,32.49,31.49,31.07,32.57,1620531.0,51281119.9,0.9461
2021-10-28,000828.XSHE,38.68,37.59,37.4,38.99,1830336.0,69748602.73,0.6665
2021-10-28,000829.XSHE,350.92,353.53,343.08,357.61,1819019.0,637743151.8,2.9014
2021-10-28,000830.XSHE,131.23,120.14,119.48,131.23,12687908.0,1559862372.95,6.3215
2021-10-28,000831.XSHE,166.51,153.9,153.53,167.26,13419786.0,2127821841.0,5.7093
2021-10-28,000833.XSHE,11.39,11.04,10.91,11.39,11263980.0,125144825.07,4.9457
2021-10-28,000835.XSHE,19.4,20.6,18.95,20.6,1938077.0,39304857.92,4.7746
2021-10-28,000836.XSHE,21.21,20.86,20.77,21.21,1050289.0,21969058.0,0.7681
2021-10-28,000837.XSHE,40.92,39.74,39.66,41.64,4680040.0,189158133.0,2.73
2021-10-28,000838.XSHE,33.56,33.56,33.17,34.22,373895.0,12588465.79,0.5794
2021-10-28,000839.XSHE,55.62,55.37,54.87,57.62,1325420.0,74268473.4,0.8434
2021-10-28,000848.XSHE,263.75,258.74,257.42,267.45,898505.0,234937109.37,2.2039
2021-10-28,000850.XSHE,34.59,33.87,33.6,34.77,682231.0,23167509.0,0.6497
2021-10-28,000851.XSHE,13.11,13.02,12.97,13.38,2393875.0,31541258.05,0.6531
2021-10-28,000852.XSHE,35.66,34.21,33.99,35.94,4196336.0,145025883.84,3.0071
2021-10-28,000856.XSHE,12.7,12.74,12.68,13.07,1010252.0,12938830.6,0.8656
2021-10-28,000858.XSHE,3975.79,3944.46,3916.79,4030.39,1196692.0,4755135735.19,0.5649
2021-10-28,000859.XSHE,22.04,21.37,21.33,22.31,4214301.0,90953508.74,1.8903
2021-10-28,000860.XSHE,96.64,95.8,94.54,98.68,4464650.0,429844083.54,1.8065
2021-10-28,000861.XSHE,41.96,41.35,41.15,42.36,864903.0,36136662.5,0.8087
2021-10-28,000862.XSHE,24.22,24.02,22.88,24.58,30641150.0,732021300.78,17.0333
2021-10-28,000863.XSHE,19.91,19.77,19.56,20.12,939574.0,18563973.67,0.5536
2021-10-28,000868.XSHE,18.4,17.8,17.75,18.66,1385364.0,25084680.0,0.9552
2021-10-28,000869.XSHE,145.03,144.66,141.65,146.44,538907.0,77593915.76,0.5587
2021-10-28,000875.XSHE,9.57,9.84,9.38,10.31,170897459.0,1679504633.76,9.8387
2021-10-28,000876.XSHE,257.93,255.21,250.67,260.47,3002875.0,765866458.99,1.2592
2021-10-28,000877.XSHE,98.12,97.53,97.24,99.88,1415939.0,139060797.96,1.1781
2021-10-28,000878.XSHE,39.78,39.3,38.38,40.1,12954752.0,505720063.97,2.3351
2021-10-28,000880.XSHE,30.92,29.87,29.63,30.96,1820213.0,54795636.89,4.3995
2021-10-28,000881.XSHE,44.92,44.46,44.36,46.08,825788.0,37289427.46,0.5417
2021-10-28,000882.XSHE,5.11,5.08,5.02,5.17,6034282.0,30742480.4,0.655
2021-10-28,000883.XSHE,27.43,27.32,26.88,28.43,15037744.0,415709075.77,1.2785
2021-10-28,000885.XSHE,20.48,19.91,19.85,20.6,3353545.0,67417659.45,1.0708
2021-10-28,000886.XSHE,12.31,12.04,11.92,12.31,1715313.0,20821753.0,0.5382
2021-10-28,000887.XSHE,372.66,376.75,367.21,384.48,1302318.0,491912433.64,2.4291
2021-10-28,000888.XSHE,37.83,37.7,37.32,37.96,682682.0,25680114.56,0.8182
2021-10-28,000889.XSHE,16.16,16.06,15.9,16.37,1848353.0,29691186.09,1.1077
2021-10-28,000890.XSHE,16.18,15.66,15.48,16.51,586925.0,9207756.0,0.5711
2021-10-28,000892.XSHE,6.64,6.49,6.49,6.81,3651403.0,24230876.0,1.6962
2021-10-28,000893.XSHE,37.02,35.96,35.62,37.14,3381686.0,122693397.24,1.7053
2021-10-28,000895.XSHE,614.61,644.22,597.25,652.9,2574118.0,1632447053.06,3.8488
2021-10-28,000897.XSHE,14.04,15.37,13.98,15.37,9526174.0,142832776.67,3.5354
2021-10-28,000898.XSHE,13.3,13.05,12.8,13.33,21925195.0,285520535.68,0.8518
2021-10-28,000899.XSHE,22.66,22.27,22.12,23.2,8953773.0,202682822.68,3.5483
2021-10-28,000900.XSHE,56.03,55.76,55.35,56.43,286803.0,15964208.48,0.2552
2021-10-28,000901.XSHE,54.95,53.51,53.32,55.22,1147089.0,62013440.06,0.9413
2021-10-28,000902.XSHE,67.91,64.76,64.51,68.96,8052593.0,533266098.25,2.4573
2021-10-28,000903.XSHE,39.37,38.28,38.16,39.37,1541215.0,59351569.4,0.9414
2021-10-28,000905.XSHE,15.64,15.52,15.47,15.72,927787.0,14413759.32,0.4359
2021-10-28,000906.XSHE,48.17,46.69,46.69,48.17,742636.0,35092276.29,0.5322
2021-10-28,000908.XSHE,10.28,10.33,10.19,10.47,3506676.0,36284435.0,1.31
2021-10-28,000909.XSHE,13.37,13.22,13.13,13.37,559486.0,7397411.3,0.3083
2021-10-28,000910.XSHE,29.41,28.74,28.29,29.41,3439002.0,98982095.25,1.5598
2021-10-28,000911.XSHE,21.01,20.59,20.14,21.63,5958439.0,123837657.51,3.4767
2021-10-28,000912.XSHE,14.39,13.67,13.56,14.76,18371801.0,257651408.93,2.7019
2021-10-28,000913.XSHE,36.18,35.74,35.3,36.28,1484256.0,53046432.57,0.8928
2021-10-28,000915.XSHE,79.68,81.08,77.7,81.9,1692115.0,135202766.21,2.3532
2021-10-28,000917.XSHE,44.34,43.63,43.47,45.05,1382223.0,60972322.05,0.7708
2021-10-28,000918.XSHE,6.23,6.25,6.06,6.38,10762387.0,66826441.0,1.4746
2021-10-28,000919.XSHE,24.25,24.06,23.99,24.36,674424.0,16275307.0,0.5039
2021-10-28,000920.XSHE,25.76,25.05,24.92,26.26,2499004.0,63374772.02,1.8436
2021-10-28,000921.XSHE,15.9,16.21,15.65,16.21,3364777.0,53523783.14,0.5194
2021-10-28,000922.XSHE,26.92,26.01,25.4,27.15,5194746.0,135665213.52,2.4735
2021-10-28,000923.XSHE,24.23,23.68,23.55,24.45,4671185.0,111620068.66,1.2381
2021-10-28,000925.XSHE,27.71,25.94,25.63,27.75,3709090.0,97621639.64,2.4562
2021-10-28,000926.XSHE,13.98,13.77,13.77,14.12,1453250.0,20181745.0,0.5378
2021-10-28,000927.XSHE,5.53,5.31,5.29,5.56,13465602.0,72356953.88,1.0921
