code,low_close_diff
603967.XSHG,-0.05000000000000071
002101.XSHE,-0.6400000000000006
300110.XSHE,-0.7600000000000016
600160.XSHG,-2.0400000000000063
603779.XSHG,-0.08000000000000007
603990.XSHG,-3.780000000000001
600048.XSHG,-2.3799999999999955
600319.XSHG,-0.16000000000000014
002872.XSHE,-0.09999999999999964
601633.XSHG,-6.800000000000011
600909.XSHG,-0.03000000000000025
300750.XSHE,-20.16999999999996
601058.XSHG,-0.25
000637.XSHE,-0.1700000000000017
600312.XSHG,-0.20000000000000284
600455.XSHG,-0.28999999999999915
002797.XSHE,-0.09999999999999964
300933.XSHE,-0.16999999999999993
002511.XSHE,-3.3100000000000023
002289.XSHE,-1.17
600162.XSHG,-0.2400000000000002
002499.XSHE,-0.6500000000000004
002213.XSHE,-0.22999999999999687
600995.XSHG,-0.9799999999999969
002286.XSHE,-0.8900000000000006
002350.XSHE,-0.23999999999999844
600569.XSHG,-0.09999999999999964
600798.XSHG,-1.1499999999999986
000973.XSHE,-0.4299999999999997
002084.XSHE,-0.33000000000000185
002025.XSHE,-20.629999999999995
603959.XSHG,-1.3900000000000006
000897.XSHE,-0.17999999999999972
000049.XSHE,-6.939999999999998
300864.XSHE,-3.049999999999997
300318.XSHE,-2.509999999999998
002420.XSHE,-0.019999999999999574
000565.XSHE,-1.9100000000000037
600391.XSHG,-1.4599999999999937
002658.XSHE,-1.8099999999999952
002883.XSHE,-0.5399999999999991
300674.XSHE,-0.7199999999999989
002132.XSHE,-0.28999999999999915
300149.XSHE,-3.2099999999999937
600696.XSHG,-2.6400000000000006
688579.XSHG,-0.3500000000000014
000838.XSHE,-1.4399999999999977
600789.XSHG,-0.35999999999999943
600517.XSHG,-2.9499999999999886
300287.XSHE,-0.7399999999999949
600717.XSHG,-0.2600000000000051
600866.XSHG,-1.1699999999999946
000100.XSHE,-0.38000000000000256
300262.XSHE,-0.7699999999999996
603429.XSHG,-9.719999999999999
600828.XSHG,-1.3599999999999994
688676.XSHG,-0.4800000000000004
002957.XSHE,-0.9299999999999997
002066.XSHE,-1.0699999999999967
603020.XSHG,-2.770000000000003
688009.XSHG,-0.009999999999999787
688608.XSHG,-9.079999999999984
002126.XSHE,-1.0
002366.XSHE,-0.4900000000000002
002181.XSHE,-0.13000000000000078
000666.XSHE,-0.3100000000000005
002507.XSHE,-2.1599999999999966
002639.XSHE,-0.740000000000002
000150.XSHE,-3.1499999999999986
001965.XSHE,-0.05000000000000071
300534.XSHE,-0.14000000000000057
600385.XSHG,-0.06999999999999851
600518.XSHG,-8.590000000000003
300766.XSHE,-0.6199999999999992
000902.XSHE,-0.5499999999999972
002376.XSHE,-0.5
300831.XSHE,-0.9099999999999984
688196.XSHG,-2.520000000000003
002222.XSHE,-0.4200000000000017
300390.XSHE,-13.060000000000002
688278.XSHG,-2.0600000000000023
600760.XSHG,-13.45999999999998
002986.XSHE,-0.5
000151.XSHE,-0.29999999999999716
600193.XSHG,0.0
601098.XSHG,-0.0600000000000005
603100.XSHG,-0.36999999999999744
300118.XSHE,-3.5900000000000034
002142.XSHE,-1.0499999999999972
600865.XSHG,-0.5499999999999972
600976.XSHG,-11.739999999999995
002842.XSHE,-0.3000000000000007
600356.XSHG,-0.14000000000000057
603042.XSHG,-0.10000000000000142
300430.XSHE,-0.509999999999998
603999.XSHG,-0.3199999999999985
601002.XSHG,-0.03000000000000025
600882.XSHG,-6.319999999999993
000980.XSHE,0.0
002348.XSHE,-2.539999999999999
000756.XSHE,-0.16000000000000014
600021.XSHG,-0.21999999999999886
300529.XSHE,-2.7399999999999807
603039.XSHG,-4.150000000000006
600939.XSHG,-0.06000000000000005
603988.XSHG,-1.25
000595.XSHE,-0.3100000000000005
300124.XSHE,-34.52999999999997
600382.XSHG,-0.05000000000000071
603908.XSHG,-0.9800000000000004
600754.XSHG,-9.810000000000002
688219.XSHG,-0.7399999999999984
002537.XSHE,-0.8299999999999983
603258.XSHG,-0.5600000000000023
603383.XSHG,-5.609999999999999
300308.XSHE,-4.039999999999992
603456.XSHG,-9.719999999999999
603759.XSHG,-0.490000000000002
002034.XSHE,-0.37999999999999545
003008.XSHE,-0.3999999999999986
603733.XSHG,-0.5700000000000003
002610.XSHE,-0.370000000000001
300604.XSHE,-7.22999999999999
600255.XSHG,-0.129999999999999
300593.XSHE,-6.490000000000009
605155.XSHG,-0.1999999999999993
688358.XSHG,-2.270000000000003
600702.XSHG,-59.24000000000001
002317.XSHE,-4.450000000000003
603886.XSHG,-0.20000000000000284
688359.XSHG,-2.289999999999999
002414.XSHE,-5.530000000000001
002855.XSHE,-0.16999999999999993
002401.XSHE,-0.9399999999999977
300684.XSHE,-0.44000000000000483
300493.XSHE,-0.46000000000000085
000513.XSHE,-9.009999999999991
002152.XSHE,-4.439999999999998
603661.XSHG,-0.9099999999999966
002129.XSHE,-7.170000000000002
603559.XSHG,-0.22999999999999687
688136.XSHG,-1.9400000000000048
002535.XSHE,-0.13999999999999968
002821.XSHE,-39.889999999999986
300363.XSHE,-15.549999999999983
600149.XSHG,-0.3199999999999985
002251.XSHE,-0.3399999999999963
603308.XSHG,-2.6400000000000006
300077.XSHE,-7.68
002620.XSHE,-0.4400000000000013
000606.XSHE,-0.4299999999999997
000567.XSHE,-0.09000000000000341
603038.XSHG,-2.3500000000000014
600966.XSHG,-1.5999999999999943
600990.XSHG,-0.46999999999999886
601326.XSHG,-0.010000000000000231
003030.XSHE,-0.6799999999999997
600718.XSHG,-3.460000000000008
603328.XSHG,-0.3100000000000023
002146.XSHE,-0.3399999999999892
300017.XSHE,-1.8799999999999955
300248.XSHE,-9.469999999999999
002180.XSHE,-1.0999999999999943
600228.XSHG,-0.33000000000000185
000428.XSHE,-0.13000000000000256
002028.XSHE,-5.960000000000036
600068.XSHG,-0.259999999999998
600252.XSHG,-0.37999999999999545
300001.XSHE,-7.059999999999974
600785.XSHG,-0.7000000000000028
002504.XSHE,-0.20000000000000018
601998.XSHG,-0.049999999999998934
002912.XSHE,-3.719999999999999
600530.XSHG,-0.8900000000000006
605337.XSHG,-9.959999999999994
002368.XSHE,-1.7399999999999949
605255.XSHG,-0.22999999999999865
688123.XSHG,-1.4399999999999977
300894.XSHE,-2.509999999999998
002264.XSHE,-0.18999999999999773
600900.XSHG,-0.9799999999999969
600067.XSHG,-2.6400000000000006
000731.XSHE,-0.6000000000000085
000688.XSHE,-0.3999999999999986
002064.XSHE,-1.9000000000000057
300629.XSHE,-1.0700000000000003
600694.XSHG,-0.25
002969.XSHE,-0.05000000000000071
603128.XSHG,-1.3099999999999952
002396.XSHE,-0.46000000000000796
300078.XSHE,-0.37999999999999545
002303.XSHE,-0.18999999999999773
002951.XSHE,-0.06999999999999851
688536.XSHG,-45.200000000000045
603187.XSHG,-4.929999999999993
002983.XSHE,-0.5500000000000007
300117.XSHE,-0.46999999999999886
300398.XSHE,-2.1700000000000017
600522.XSHG,-2.1400000000000006
000753.XSHE,-0.21999999999999886
000060.XSHE,-0.7599999999999909
600600.XSHG,-5.339999999999975
002809.XSHE,-0.9499999999999993
300143.XSHE,-9.989999999999995
300675.XSHE,-0.75
300947.XSHE,-0.5899999999999963
600051.XSHG,-0.27999999999999403
600166.XSHG,-1.0499999999999972
603516.XSHG,-1.279999999999994
002100.XSHE,-0.23000000000000398
002775.XSHE,-0.3299999999999983
002645.XSHE,-2.010000000000005
300393.XSHE,-1.9600000000000009
300780.XSHE,-0.07000000000000028
601226.XSHG,-0.040000000000000036
600655.XSHG,-83.31999999999971
600797.XSHG,-1.3799999999999955
300627.XSHE,-3.6200000000000045
002860.XSHE,-0.4799999999999969
603713.XSHG,-2.569999999999993
603069.XSHG,-0.18000000000000327
002319.XSHE,-0.5100000000000016
600156.XSHG,-0.16999999999999993
003003.XSHE,-0.5999999999999996
000761.XSHE,-0.0600000000000005
300802.XSHE,-1.1599999999999966
600337.XSHG,-1.519999999999996
688001.XSHG,-1.3800000000000026
300877.XSHE,-0.990000000000002
603819.XSHG,-0.17999999999999972
000928.XSHE,-1.5399999999999991
600358.XSHG,-0.040000000000000924
600298.XSHG,-6.17999999999995
000078.XSHE,-1.230000000000004
688639.XSHG,-4.309999999999995
002285.XSHE,-1.6099999999999994
300129.XSHE,-0.7199999999999989
002418.XSHE,-0.7000000000000011
603260.XSHG,-2.1700000000000017
603533.XSHG,-1.0
601198.XSHG,-0.15000000000000036
300614.XSHE,-4.719999999999999
300397.XSHE,-1.990000000000002
603380.XSHG,-0.8599999999999994
300875.XSHE,-1.4000000000000057
600125.XSHG,-0.3299999999999983
002643.XSHE,-2.8900000000000006
002758.XSHE,-0.23000000000000398
300404.XSHE,-0.6499999999999986
600965.XSHG,-0.6000000000000014
600479.XSHG,-2.1999999999999886
601689.XSHG,-2.809999999999995
000158.XSHE,-1.9499999999999993
000927.XSHE,-0.040000000000000036
603085.XSHG,-1.0800000000000018
000089.XSHE,-0.4399999999999977
000755.XSHE,-0.10999999999999943
002584.XSHE,-0.2400000000000002
300850.XSHE,-6.360000000000014
603863.XSHG,-0.4299999999999997
002813.XSHE,-0.7399999999999984
002077.XSHE,-0.08999999999999986
002308.XSHE,-0.4799999999999969
300952.XSHE,-0.5399999999999991
002762.XSHE,-13.809999999999988
000539.XSHE,-0.7400000000000091
000656.XSHE,-0.2700000000000031
002692.XSHE,-0.05000000000000071
002829.XSHE,-1.6899999999999977
600847.XSHG,-0.4200000000000017
002642.XSHE,-1.889999999999997
300693.XSHE,-2.489999999999995
300414.XSHE,-0.30999999999999517
300546.XSHE,-2.1000000000000014
600629.XSHG,-0.060000000000002274
688585.XSHG,-0.2400000000000002
605178.XSHG,-0.5
300889.XSHE,-0.35999999999999943
300827.XSHE,-2.6600000000000037
000045.XSHE,-0.34999999999999787
300522.XSHE,-1.480000000000004
002671.XSHE,-0.05000000000000071
601099.XSHG,-0.22000000000000064
603915.XSHG,-0.5599999999999952
300185.XSHE,-0.0799999999999983
000936.XSHE,-0.259999999999998
688100.XSHG,-1.4000000000000021
601898.XSHG,-0.08000000000000007
300063.XSHE,-0.9399999999999977
000056.XSHE,-0.3299999999999983
002370.XSHE,-0.5999999999999996
603013.XSHG,-0.129999999999999
000027.XSHE,-30.0
600150.XSHG,-0.35999999999999943
603681.XSHG,-0.6900000000000013
000025.XSHE,-0.4399999999999977
002259.XSHE,0.0
600704.XSHG,-12.569999999999993
000498.XSHE,-0.3899999999999988
600726.XSHG,-0.4299999999999997
002618.XSHE,-0.0600000000000005
002514.XSHE,-1.2000000000000028
000680.XSHE,-0.16000000000000014
