code,size,beta,momentum,residual_volatility,non_linear_size,book_to_price_ratio,liquidity,earnings_yield,growth,leverage
000559.XSHE,-0.927525,-1.364974,-1.055028,0.039376,1.7342380000000002,0.0150699999999999,-0.266891,-0.1789609999999999,-0.992854,-0.4668029999999999
000560.XSHE,-1.412649,-1.815213,-0.205172,0.8675649999999999,2.130866,1.788987,0.311558,0.695418,1.110104,-0.155691
000561.XSHE,-2.274579,-0.951517,-0.992894,-1.106702,1.6100709999999998,-0.140591,-0.6287729999999999,-0.440347,-0.2023869999999999,-0.354302
000563.XSHE,-1.222474,-1.020122,-1.240604,-1.337246,2.021089,1.582132,-1.118094,-0.6102,-0.112679,-1.291085
000564.XSHE,-1.100698,-1.091083,-0.732425,1.6925599999999998,1.918336,2.714184,0.23995,-2.153992,-2.868948,-0.548706
000565.XSHE,-2.644579,-1.432603,-0.238166,0.368504,0.726391,0.091994,-0.068436,-0.407348,-2.868948,-0.7881090000000001
000566.XSHE,-1.818598,-1.884535,-1.575585,0.8263729999999999,2.118685,0.313678,0.23228,-1.071593,-0.991469,-0.1242
000567.XSHE,-1.679371,-1.064593,-0.107471,0.615284,2.164571,0.421643,0.146519,-0.176704,-0.763305,-0.750581
000568.XSHE,0.877365,2.1466540000000003,1.136073,-0.308096,-1.124276,-1.160258,0.26716,-0.903659,0.583892,-0.744498
000570.XSHE,-2.21686,-1.380914,-0.31808,0.359937,1.707628,0.907664,0.8272709999999999,-0.535868,-0.591023,-0.746528
000571.XSHE,-3.038247,-2.675955,-1.503092,0.6929109999999999,-0.760968,-0.5223770000000001,-1.044553,-1.065993,-0.8752909999999999,0.248159
000572.XSHE,-1.609892,-1.284586,2.560727,1.865831,2.170529,-0.052975,1.1428,-1.074925,-2.773862,-0.604155
000573.XSHE,-2.8654900000000003,-1.15336,-0.202808,-0.306142,-0.0336389999999999,1.118432,-0.021746,0.617793,-1.422725,-0.4259949999999999
000576.XSHE,-2.102367,0.38192,-0.322442,-0.666482,1.87141,-0.287869,0.901817,-0.4392649999999999,0.243663,-1.184692
000581.XSHE,-0.8005,-0.7590020000000001,-0.53914,-0.994515,1.574529,1.30605,-0.070703,1.251283,-0.091777,-0.836933
000582.XSHE,-1.179125,-0.959899,-1.4114,-0.4508939999999999,1.987235,1.015931,-1.144193,1.20158,-0.220071,-0.189123
000584.XSHE,-2.077551,-0.651112,-0.7215689999999999,0.073486,1.901851,0.146485,0.189276,-0.6734939999999999,0.8317629999999999,-0.311894
000585.XSHE,-3.166211,-2.400378,-0.654246,0.011235,-1.379545,0.170216,-0.701099,-0.943747,1.073757,2.063302
